# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(real x);real;308
Phi_approx;(real x);real;308
abs;(int x);int;293
abs;(real x);real;301
acos;(real x);real;305
acosh;(real x);real;306
append_col;(matrix x, matrix y);matrix;335
append_col;(matrix x, vector y);matrix;336
append_col;(row_vector x, row_vector y);row_vector;336
append_col;(vector x, matrix y);matrix;336
append_col;(vector x, vector y);matrix;336
append_row;(matrix x, matrix y);matrix;336
append_row;(matrix x, row_vector y);matrix;336
append_row;(row_vector x, matrix y);matrix;336
append_row;(row_vector x, row_vector y);matrix;336
append_row;(vector x, vector y);vector;336
asin;(real x);real;305
asinh;(real x);real;307
atan2;(real x, real y);real;306
atan;(real x);real;306
atanh;(real x);real;307
bernoulli;~;real;346
bernoulli_ccdf_log;(ints y, reals theta);real;346
bernoulli_cdf;(ints y, reals theta);real;346
bernoulli_cdf_log;(ints y, reals theta);real;346
bernoulli_log;(ints y, reals theta);real;346
bernoulli_logit;~;real;347
bernoulli_logit_log;(ints y, reals alpha);real;347
bernoulli_rng;(real theta);int;346
bessel_first_kind;(int v, real x);real;311
bessel_second_kind;(int v, real x);real;311
beta;~;real;381
beta_binomial;~;real;350
beta_binomial_ccdf_log;(ints n, ints N, reals alpha, reals beta);real;351
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;350
beta_binomial_cdf_log;(ints n, ints N, reals alpha, reals beta);real;350
beta_binomial_log;(ints n, ints N, reals alpha, reals beta);real;350
beta_binomial_rng;(int N, real alpha, real beta);int;351
beta_ccdf_log;(reals theta, reals alpha, reals beta);real;381
beta_cdf;(reals theta, reals alpha, reals beta);real;381
beta_cdf_log;(reals theta, reals alpha, reals beta);real;381
beta_log;(reals theta, reals alpha, reals beta);real;381
beta_rng;(real alpha, real beta);real;382
binary_log_loss;(int y, real y_hat);real;309
binomial;~;real;348
binomial_ccdf_log;(ints n, ints N, reals theta);real;349
binomial_cdf;(ints n, ints N, reals theta);real;348
binomial_cdf_log;(ints n, ints N, reals theta);real;349
binomial_coefficient_log;(real x, real y);real;311
binomial_log;(ints n, ints N, reals theta);real;348
binomial_logit;~;real;349
binomial_logit_log;(ints n, ints N, reals alpha);real;350
binomial_rng;(int N, real theta);int;349
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;334
categorical;~;real;352
categorical_log;(ints y, vector theta);real;352
categorical_logit;~;real;352
categorical_logit_log;(ints y, vector beta);real;352
categorical_rng;(vector theta);int;352
cauchy;~;real;365
cauchy_ccdf_log;(reals y, reals mu, reals sigma);real;365
cauchy_cdf;(reals y, reals mu, reals sigma);real;365
cauchy_cdf_log;(reals y, reals mu, reals sigma);real;365
cauchy_log;(reals y, reals mu, reals sigma);real;365
cauchy_rng;(real mu, real sigma);real;365
cbrt;(real x);real;303
ceil;(real x);real;302
chi_square;~;real;370
chi_square_ccdf_log;(reals y, reals nu);real;370
chi_square_cdf;(reals y, reals nu);real;370
chi_square_cdf_log;(reals y, reals nu);real;370
chi_square_log;(reals y, reals nu);real;370
chi_square_rng;(real nu);real;370
cholesky_decompose;(matrix A);matrix;340
col;(matrix x, int n);vector;334
cols;(matrix x);int;323
cols;(row_vector x);int;323
cols;(vector x);int;323
columns_dot_product;(matrix x, matrix y);row_vector;328
columns_dot_product;(row_vector x, row_vector y);row_vector;328
columns_dot_product;(vector x, vector y);row_vector;328
columns_dot_self;(matrix x);row_vector;329
columns_dot_self;(row_vector x);row_vector;329
columns_dot_self;(vector x);row_vector;329
cos;(real x);real;305
cosh;(real x);real;306
crossprod;(matrix x);matrix;329
cumulative_sum;(real[] x);real[];337
cumulative_sum;(row_vector rv);row_vector;337
cumulative_sum;(vector v);vector;337
determinant;(matrix A);real;339
diag_matrix;(vector x);matrix;333
